2025-10-18 19:37:22 | INFO | aiogram | Bot: Noto [@notonoto_bot]
2025-10-18 19:37:23 | WARNING | aiogram | Updates were skipped successfully.
2025-10-18 19:37:23 | INFO | aiogram.dispatcher.dispatcher | Start polling.
2025-10-18 19:38:04 | INFO | middlewares.traffic | MSG from d1f0b15c: text='/start'
2025-10-18 19:38:05 | DEBUG | middlewares.auto_delete | Удалено: '/start'
2025-10-18 19:38:07 | INFO | middlewares.traffic | MSG from d1f0b15c: text='❓ Помощь'
2025-10-18 19:38:07 | DEBUG | middlewares.auto_delete | Удалено: '❓ Помощь'
2025-10-18 19:38:09 | INFO | middlewares.traffic | MSG from d1f0b15c: text='📦 Архив'
2025-10-18 19:38:09 | DEBUG | middlewares.auto_delete | Удалено: '📦 Архив'
2025-10-18 19:38:10 | INFO | middlewares.traffic | MSG from d1f0b15c: text='❓ Помощь'
2025-10-18 19:38:10 | DEBUG | middlewares.auto_delete | Удалено: '❓ Помощь'
2025-10-18 22:30:48 | INFO | aiogram | Bot: Noto [@notonoto_bot]
2025-10-18 22:30:49 | WARNING | aiogram | Updates were skipped successfully.
2025-10-18 22:30:49 | INFO | root | 🚀 Запуск бота...
2025-10-18 22:30:49 | INFO | root | 📝 Подключение к БД: sqlite+aiosqlite:///./notes.db
2025-10-18 22:30:49 | ERROR | root | ❌ Ошибка при инициализации БД: 'NoneType' object has no attribute 'begin'
Traceback (most recent call last):
  File "/home/boogie/telegram-bot/bot.py", line 67, in on_startup
    async with async_engine.begin() as conn:
               ^^^^^^^^^^^^^^^^^^
AttributeError: 'NoneType' object has no attribute 'begin'
2025-10-18 22:30:49 | INFO | root | 🛑 Остановка бота...
2025-10-18 22:30:49 | INFO | root | ✅ БД отключена
2025-10-18 22:30:49 | WARNING | aiogram | Goodbye!
2025-10-18 22:36:40 | INFO | aiogram | Bot: Noto [@notonoto_bot]
2025-10-18 22:36:40 | WARNING | aiogram | Updates were skipped successfully.
2025-10-18 22:36:40 | INFO | root | 🚀 Запуск бота...
2025-10-18 22:36:40 | INFO | root | 📝 Подключение к БД: sqlite+aiosqlite:///./notes.db
2025-10-18 22:36:40 | ERROR | root | ❌ Ошибка при инициализации БД: 'NoneType' object has no attribute 'begin'
Traceback (most recent call last):
  File "/home/boogie/telegram-bot/bot.py", line 65, in on_startup
    async with async_engine.begin() as conn:
               ^^^^^^^^^^^^^^^^^^
AttributeError: 'NoneType' object has no attribute 'begin'
2025-10-18 22:36:40 | INFO | root | 🛑 Остановка бота...
2025-10-18 22:36:40 | INFO | root | ✅ БД отключена
2025-10-18 22:36:40 | WARNING | aiogram | Goodbye!
2025-10-18 22:40:18 | INFO | aiogram | Bot: Noto [@notonoto_bot]
2025-10-18 22:40:18 | WARNING | aiogram | Updates were skipped successfully.
2025-10-18 22:40:18 | INFO | root | 🚀 Запуск бота...
2025-10-18 22:40:18 | INFO | root | 📝 Подключение к БД: sqlite+aiosqlite:///./notes.db
2025-10-18 22:40:18 | INFO | root | ✅ Engine и SessionMaker инициализированы
2025-10-18 22:40:18 | DEBUG | aiosqlite | executing <function connect.<locals>.connector at 0x7040cf469f80>
2025-10-18 22:40:18 | DEBUG | aiosqlite | operation <function connect.<locals>.connector at 0x7040cf469f80> completed
